AttackType,Severity,Target,Impact,Detected,ResponseTime,MitigationEffort,DataCompromised,FinancialLoss
Phishing,Medium,Corporate,5.4,Yes,12.3,7.2,25.6,350000
Malware,High,Government,8.1,No,24.6,5.1,58.3,1200000
DDoS,Critical,Financial,9.7,Yes,3.2,8.6,78.9,4500000
Ransomware,Medium,Healthcare,6.5,Yes,15.4,6.2,45.7,750000
SQL Injection,Low,Individual,3.2,No,30.1,4.5,12.4,200000
Phishing,High,Corporate,7.8,Yes,10.8,7.9,33.2,890000
Malware,Medium,Government,5.9,Yes,20.4,5.8,55.1,1300000
DDoS,Critical,Financial,9.5,No,2.6,9.3,80.5,4600000
Ransomware,High,Healthcare,8.4,Yes,12.1,6.9,49.3,800000
SQL Injection,Medium,Individual,4.6,No,28.7,4.9,18.7,250000
Phishing,Low,Corporate,2.8,Yes,14.5,7.0,22.3,300000
Malware,Critical,Government,9.1,No,26.3,5.3,62.8,1400000
DDoS,High,Financial,8.7,Yes,4.1,8.1,75.4,4300000
Ransomware,Medium,Healthcare,6.2,Yes,18.7,6.5,42.9,720000
SQL Injection,Low,Individual,3.5,No,32.4,4.7,15.2,210000
Phishing,High,Corporate,7.1,Yes,11.2,7.4,30.5,850000
Malware,Medium,Government,6.0,Yes,22.9,5.7,53.6,1250000
DDoS,Critical,Financial,9.8,No,1.9,9.5,82.1,4700000
Ransomware,High,Healthcare,8.9,Yes,14.8,6.8,50.2,780000
SQL Injection,Medium,Individual,4.8,No,29.3,5.0,19.3,230000
Phishing,Low,Corporate,3.0,Yes,13.5,7.1,24.7,320000
Malware,Critical,Government,9.4,No,25.7,5.4,61.5,1350000
DDoS,High,Financial,8.3,Yes,5.3,8.2,77.2,4200000
Ransomware,Medium,Healthcare,6.7,Yes,16.9,6.4,47.6,700000
SQL Injection,Low,Individual,3.3,No,31.7,4.6,14.8,220000
Phishing,High,Corporate,7.3,Yes,10.5,7.8,31.7,880000
Malware,Medium,Government,5.7,Yes,21.8,5.9,56.2,1280000
DDoS,Critical,Financial,9.9,No,3.5,9.4,81.0,4800000
Ransomware,High,Healthcare,8.6,Yes,13.7,6.7,48.9,740000
SQL Injection,Medium,Individual,4.1,No,27.9,5.1,16.3,240000
Phishing,Low,Corporate,2.9,Yes,12.4,7.3,23.5,310000
Malware,Critical,Government,9.2,No,24.3,5.5,63.9,1370000
DDoS,High,Financial,8.5,Yes,6.4,8.0,79.6,4400000
Ransomware,Medium,Healthcare,6.1,Yes,17.5,6.6,46.8,690000
SQL Injection,Low,Individual,3.1,No,30.9,4.8,13.9,215000
Phishing,High,Corporate,7.5,Yes,9.6,7.6,29.9,860000
Malware,Medium,Government,6.3,Yes,23.5,5.6,54.8,1260000
DDoS,Critical,Financial,9.6,No,4.2,9.2,83.5,4550000
Ransomware,High,Healthcare,8.2,Yes,15.6,6.9,52.4,765000
SQL Injection,Medium,Individual,4.7,No,28.5,4.9,17.4,245000
Phishing,Low,Corporate,3.6,Yes,11.9,7.2,26.8,330000
Malware,Critical,Government,9.0,No,26.7,5.4,60.1,1420000
DDoS,High,Financial,8.1,Yes,7.0,8.5,76.1,4300000
Ransomware,Medium,Healthcare,6.4,Yes,19.2,6.3,44.5,710000
SQL Injection,Low,Individual,3.9,No,32.1,4.5,15.7,205000
